city,notes,endpoint
Hohhot,"CIA Reading Room cia-rdp81-01043r004700170001-7: (SANITIZED)UNCLASSIFIED CHINESE PUBLICATION ENTITLED, ""NATIONAL RAILROAD PASSENGER TRAIN TIME TABLE,"" PEOPLE'S RAILWAY PUBLISHING HOUSE, MAY 1958(SANITIZED) (Internet Archive)",https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp81-01043r004700170001-7/manifest.json
Hohhot,CIA Reading Room cia-rdp80-00809a000700070240-6: COASTAL ROADS OF KWANGTUNG AND HAINAN BEING DESTROYED (Internet Archive),https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp80-00809a000700070240-6/manifest.json
Hohhot,CIA Reading Room cia-rdp94-00798r000200150026-1: SEOUL BUREAU EMERGENCY COVERAGE PLAN (Internet Archive),https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp94-00798r000200150026-1/manifest.json
Hohhot,"Response of C:N:P in the plant-soil system and stoichiometric homeostasis of Nitraria tangutorum leaves in the oasis-desert ecotone, Northwest China (Internet Archive)",https://iiif.archivelab.org/iiif/ChinaXiv-202110.00020V1/manifest.json
Hotan,[Calques et croquis manuscrits du cartographe J. Hansen avec des corrections de F. Grenard pour servir à l'établissement de l'Atlas accompagnant l'ouvrage : Mission scientifique dans la Haute Asie 1890-1895 / par J. -L.Dutreuil de Rhins et F. Grenard] (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b53187474k/manifest.json
Hotan,"Atlas colonial français : colonies, protectorats et pays sous mandat / cartes et texte du Commandant P. Pollacchi (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100182m/manifest.json
Hotan,"La Cosmographie universelle de tout le monde en laquelle, suivant les auteurs plus dignes de foy, sont au vray descriptes toutes les parties habitables & non habitables de la terre et de la mer, leurs assiettes & choses qu'elles produisent: puis la description & peincture topographique des régions, la différence de l'air de chacun pays d'où advient la diversité tant de la complexion des hommes que des figures des bestes brutes. Et encor l'origine, noms ou appellations tant modernes qu'anciennes & description de plusieurs villes, citez & isles avec leurs plantz & pourtraictz & sur tout de la France, non encor iusques à present veus ny imprimez. S'y voyent aussi d'avantage, les origines, accroissemens & changemens des monarchies, empires, royaumes, estatz & republiques: ensemble les moeurs, façons de vivre, loix, coustumes, & religion de tous les peuples & natio[n]s du monde: & la succession des papes, cardinaux, archevesques & evesques, chacun en leur diocese, tant anciens que modernes: Avec plusieurs autres choses, le sommaire desquelles se void en la page suivante auteur en partie Munster, mais beaucoup plus augmentée, ornée & enrichie par François de Belle-Forest, Comingeois, tant de ses recerches [sic], comme de l'aide de plusieurs memoires envoyez de diverses villes de France, par hommes amateurs de l'histoire & de leur patrie Avec trois tables, l'une des plantz & pourtraicts des isles et des villes. La seconde, des tiltres & chapitres. Et la troisiesme, de tous les noms propres & des matières co[m]prises en tout l'oeuvre (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k324274q/manifest.json
Hotan,Khotan -- Noatak. (David Rumsey Map Collection),https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~336855~90104845/manifest
Hotan,Cover: Nanzenbushu bankoku shoka no zu. (David Rumsey Map Collection),https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~34363~1171566/manifest
Hotan,Nanzenbushu bankoku shoka no zu. (David Rumsey Map Collection),https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~34362~1171565/manifest
Hotan,Supplement: Localization and broadband follow-up of the gravitational-wave transient GW150914 (Internet Archive),https://iiif.archivelab.org/iiif/arxiv-1604.07864/manifest.json
Hotan,"Carte raisonnée de la France suivant la Division décretée par l'Assemblée Nationale, 1° en 83 Départemens comprenant 547 Districts, autant de Tribunaux criminels que de Départements et autant de Tribunaux civils que de Districts ; 2° en 10 Arrondissemens Métropolitains renfermant autant d'Evêchésque de Départemens / Par Louis Brion, Geographe du Roi (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b8493130z/manifest.json
Hotan,Atlas de la France divisée en ses 40 gouvernemens généraux et militaires : en autant de cartes particulieres avec les principales routes qui traversent les provinces du royaume : Assujetties aux nouvelles observations de M. M. de l'Académie R[oya]le des Sciences : Dédié au Roi (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b53200899j/manifest.json
