city,collection,title,manifest_url
Hotan,Bibliothèque nationale de France (BnF) / Gallica,[Atlas de Trudaine pour la généralité du Hainaut-Cambrésis] / [par Charles Havez] ; [sous la direction de Daniel-Charles Trudaine],https://gallica.bnf.fr/iiif/ark:/12148/btv1b5969624k/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,La geographie universelle qui fait voir l'estat présent des 4 parties du monde c'est à dire les religions les coutumes & les richesses des peuples les forces & les gouvernements des estats Ce qui est de plus beau & de plus rare dans chaque region & autres particularités pour sçavoir l'histoire & I'interest des princes. On y a joint le traité du globe Par P. Du-Val geographe ordinaire du Roy. Premiere partie,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k8726671v/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Atlas du Cosmos, contenant les cartes géographiques, physiques, thermiques... applicables à tous les ouvrages de sciences physiques et naturelles et particulièrement aux oeuvres d'Alexandre de Humboldt et de François Arago / dressées par M. Vuillemin ; gravées sur acier par M. Jacobs ; sous la direction de M. J.-A. Barral",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9618179r/manifest.json
Hotan,Bibliothèque nationale de France (BnF) / Gallica,"Essai d'Atlas statistique de l'Indochine française : Indochine physique, population, administration, finances, agriculture, commerce, industrie / par Henri Brenier, ... ; Gouvernement général de l'Indochine",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1100178q/manifest.json
Hotan,Internet Archive,CIA Reading Room cia-rdp82-00047r000200600001-1: THE 1941 SINKIANG POPULATION SURVEY/SHIFT OF POPULATION SINCE 1941,https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp82-00047r000200600001-1/manifest.json
Huangshan,Internet Archive,The plan for a super $\eta$ factory at Huizhou accelerator complex,https://iiif.archivelab.org/iiif/ChinaXiv-202503.00026V1/manifest.json
Hunchun,David Rumsey Map Collection,"72. a. Pagode on a bridge. b. Chinese Idols. c. Chinese Priests. d. Hunchun, or Spring Festival",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~297148~90068689/manifest
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Theatrum orbis terrarum, opus nunc denuo ab ipso auctore recognitum, multisque locis castigatum et quam plurimis novis tabulis atque commentariis auctum. [Parergon in quo veteris geographiae aliquot tabulae. Nomenclator Ptolemaicus omnia locorum vocabula quae in tota Ptolemaei "" Geographia "" occurunt, continens... De Mona druidum insula antiquitati suae restituta... epistola... Humfredi Lhuyd]",https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005958g/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Massif du Canigou / carte dressée par MM. Ch. Blachère, G. Combrade et J.-B. Raynier",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531926973/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"The Complete Brazil and Cape of Good Hope pilot : being a collection of new and accurate charts, both general and particular, exhibiting the whole navigation from London to the Cape of Good Hope, Isle of France, and the coast of Brazil, drawn principally from the English, Spanish, and Portuguese surveys, corrected by the observations and remarks of several Masters in the Royal Navy and merchant service / arranged and improved by J. W. Norie, hydrographer, [et]c.",https://gallica.bnf.fr/iiif/ark:/12148/btv1b106785686/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Plan de Paris. Nomenclature des rues avec stations de métro, autobus, monuments, sorties de Paris",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53058451j/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Bacon's map of France in six sheets / by J. W. Lowry, F.R.G.S.",https://gallica.bnf.fr/iiif/ark:/12148/btv1b10678833v/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"[Lot de deux cartes satiriques de l'Europe, l'une pour l'année 1870, l'autre pour 1914]",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53230703p/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,Chart shewing the position of all the lighthouses &c. in the British Isles : and describing their respective appearances / By J. & A. Walker,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10679838f/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Carte des environs de Paris contenant le département de la Seine et celui de Seine-et-Oise (revue, corrigée et augmentée en 1822)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b10678949b/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Karte von Schlesien, in Nieder, Ober und Neu Schlesien und in Fürstenthümer desgleichen in das Breslausche und Glogausche Kammer Departement und in deren Landräthlichen Kreise eingetheilet...",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53100184z/manifest.json
Hunchun,Bibliothèque nationale de France (BnF) / Gallica,"Province of Saû-Ch'uan. 1 : 1 000 000 Compiled in the Topographical Section General Staff, War Office, 1905",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531956025/manifest.json
Hunchun,Internet Archive,CIA Reading Room cia-rdp80-00247a000500070001-7: (SANITIZED)PLANS FOR UREA PLANT CONSTRUCTION IN NORTH KOREA(SANITIZED),https://iiif.archivelab.org/iiif/cia-readingroom-document-cia-rdp80-00247a000500070001-7/manifest.json
